index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
821	hasOSMTag	school	osmtag	891f0386323ffff	h3place	False		Services_POS_amenity around (Stralsund) radius=15.0	1.0
822	hasOSMTag	891f038661bffff	h3place	equestrian	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
823	hasOSMTag	equestrian	osmtag	891f038661bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
824	hasOSMTag	multi	osmtag	891f0386397ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
825	hasOSMTag	pitch	osmtag	891f038682bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	5.0
826	hasOSMTag	891f038681bffff	h3place	golf	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
827	hasOSMTag	pitch	osmtag	891f014d693ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
828	hasOSMTag	equestrian	osmtag	891f03876abffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
829	hasOSMTag	place_of_worship	osmtag	891f0384977ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
830	hasOSMTag	multi	osmtag	891f0386323ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
831	located_on_h3_cell	https://www.openstreetmap.org/way/329764502	osmplace	891f014d693ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
832	hasOSMTag	running	osmtag	891f0148177ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
833	located_on_h3_cell	https://www.openstreetmap.org/way/694091169	osmplace	891f03868cfffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
834	hasOSMTag	football	osmtag	891f0386393ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
835	hasOSMTag	891f0387637ffff	h3place	joiner	osmtag	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
836	hasOSMTag	sports_centre	osmtag	891f0386397ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
837	hasOSMTag	9pin	osmtag	891f038633bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
838	hasOSMTag	place_of_worship	osmtag	891f014901bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
839	located_on_h3_cell	891f0385133ffff	h3place	https://www.openstreetmap.org/way/726187718	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
840	hasOSMTag	891f038639bffff	h3place	track	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
841	located_on_h3_cell	891f0384977ffff	h3place	https://www.openstreetmap.org/way/379720323	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
