index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
590	located_on_h3_cell	891f02b2463ffff	h3place	https://www.openstreetmap.org/relation/11980993	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
591	located_on_h3_cell	891f02ba1b3ffff	h3place	https://www.openstreetmap.org/way/880090079	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
592	hasOSMTag	891f02bb433ffff	h3place	restaurant	osmtag	False		Lifestyle_POS_amenity around (Wismar) radius=15.0	1.0
593	hasOSMTag	891f02bac27ffff	h3place	platform	osmtag	False		Transport_POS_amenity around (Wismar) radius=15.0	2.0
594	located_on_h3_cell	https://www.openstreetmap.org/way/926683054	osmplace	891f028412bffff	h3place	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
595	located_on_h3_cell	891f02a0293ffff	h3place	https://www.openstreetmap.org/relation/11975122	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
596	located_on_h3_cell	891f02a3107ffff	h3place	https://www.openstreetmap.org/way/880563669	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
597	hasOSMTag	891f02bad23ffff	h3place	stop_area	osmtag	False		Transport_POS_amenity around (Wismar) radius=15.0	1.0
598	located_on_h3_cell	https://www.openstreetmap.org/way/314873925	osmplace	891f02bac57ffff	h3place	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
599	hasOSMTag	891f02b1333ffff	h3place	platform	osmtag	False		Transport_POS_amenity around (Wismar) radius=15.0	1.0
600	hasOSMTag	pitch	osmtag	891f02ba107ffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
601	located_on_h3_cell	891f02a0293ffff	h3place	https://www.openstreetmap.org/way/880685167	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
602	located_on_h3_cell	891f02b2477ffff	h3place	https://www.openstreetmap.org/node/8873182481	osmplace	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
603	hasOSMTag	beach_resort	osmtag	891f0284167ffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
604	located_on_h3_cell	891f0049a0fffff	h3place	https://www.openstreetmap.org/node/5014440158	osmplace	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
605	located_on_h3_cell	891f0285d83ffff	h3place	https://www.openstreetmap.org/way/340443474	osmplace	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
606	located_on_h3_cell	891f02b1363ffff	h3place	https://www.openstreetmap.org/way/881148335	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
607	located_on_h3_cell	https://www.openstreetmap.org/relation/11980989	osmplace	891f02b310fffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
608	located_on_h3_cell	891f02ba4abffff	h3place	https://www.openstreetmap.org/way/325889009	osmplace	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
609	located_on_h3_cell	891f0049babffff	h3place	https://www.openstreetmap.org/relation/11980995	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
610	located_on_h3_cell	891f02a354fffff	h3place	https://www.openstreetmap.org/way/880685161	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
611	located_on_h3_cell	891f02baa9bffff	h3place	https://www.openstreetmap.org/way/880986383	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
612	hasOSMTag	891f02bac3bffff	h3place	pharmacy	osmtag	False		Services_POS_amenity around (Wismar) radius=15.0	1.0
613	located_on_h3_cell	https://www.openstreetmap.org/relation/11990442	osmplace	891f02ba88bffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
614	hasOSMTag	stop_area	osmtag	891f02b1a77ffff	h3place	False		Transport_POS_amenity around (Wismar) radius=15.0	1.0
615	located_on_h3_cell	891f028422fffff	h3place	https://www.openstreetmap.org/node/476374156	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
616	located_on_h3_cell	891f02b91d7ffff	h3place	https://www.openstreetmap.org/way/399512408	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
617	located_on_h3_cell	891f02bac4bffff	h3place	https://www.openstreetmap.org/way/519553686	osmplace	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
618	located_on_h3_cell	891f02b1363ffff	h3place	https://www.openstreetmap.org/relation/11980978	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
619	hasOSMTag	891f02b1363ffff	h3place	basketball	osmtag	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
620	hasOSMTag	891f02b1363ffff	h3place	platform	osmtag	False		Transport_POS_amenity around (Wismar) radius=15.0	4.0
621	located_on_h3_cell	891f02b1363ffff	h3place	https://www.openstreetmap.org/way/436207459	osmplace	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
622	hasOSMTag	891f02a0293ffff	h3place	platform	osmtag	False		Transport_POS_amenity around (Wismar) radius=15.0	1.0
623	hasOSMTag	891f02baa9bffff	h3place	stop_area	osmtag	False		Transport_POS_amenity around (Wismar) radius=15.0	1.0
624	hasOSMTag	891f02bb50bffff	h3place	park	osmtag	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
