	0	1
712	891e349367bffff	1
713	891f1a2c3b7ffff	2
714	891e34d66c3ffff	0
715	891f1a285dbffff	2
716	891f1a68d83ffff	3
717	891f1a6f473ffff	4
718	891f1a2a87bffff	2
719	891f1a6f1d7ffff	4
720	891e349341bffff	7
721	891f1a6d90fffff	4
722	891f1a6f5d7ffff	1
723	891f1a6736fffff	0
724	891f1a29233ffff	4
725	roofer	4
726	891e3492e13ffff	4
727	891f1a6f027ffff	7
728	891f1a65bc3ffff	1
729	891f1a6120bffff	1
730	891f1a6184bffff	0
731	891e34d2a9bffff	2
732	891e3492da7ffff	2
733	891e3492a63ffff	2
734	891f1a6e5b3ffff	3
735	891e3492677ffff	4
736	891f1a61b0bffff	4
737	891f1a61e0fffff	5
738	891e34d46afffff	3
739	manor	3
740	891f02b92b7ffff	2
741	891e3490a33ffff	2
742	891f1a63163ffff	4
743	891e3498843ffff	4
744	891e349236fffff	4
745	891e34900dbffff	0
746	891e349096bffff	4
747	891f1a6120fffff	4
748	891f1a2d02bffff	2
749	891e348320bffff	4
750	891f02badc7ffff	1
751	891e3492327ffff	2
752	891f1a61963ffff	1
753	common	3
754	891f1a62517ffff	6
755	891f1a61007ffff	2
756	891f1a2917bffff	7
757	891f028e917ffff	2
758	891f1a629c7ffff	3
759	891e3492da3ffff	2
760	891f1a63357ffff	3
761	891f1a2d3a7ffff	3
762	891f02aa6cbffff	4
763	891f02bae2bffff	0
764	891f02badd3ffff	2
765	891f1a62693ffff	4
766	891e3493477ffff	3
767	891f1a6f187ffff	7
768	891f1a2d067ffff	2
769	891f1a2d3c3ffff	2
770	891f1a6a907ffff	2
771	891f1a75a83ffff	2
772	891f1a2f6dbffff	7
773	891f1a2d0abffff	2
774	891e349238bffff	3
775	891f1a6c6b7ffff	7
776	891f1a2f6d3ffff	2
777	891e3491293ffff	1
778	891f02b91dbffff	2
779	boundary_stone	6
780	891e34d4843ffff	2
781	891f1a68d0bffff	0
782	891e349a46bffff	0
783	stonemason	2
784	891f1a64523ffff	5
785	891f1a75667ffff	3
786	891e349733bffff	2
787	891f02bae93ffff	2
788	891f1a29cd7ffff	7
789	891f1a2abc7ffff	0
790	891e349a67bffff	1
791	891f1a613c7ffff	3
792	891e3492123ffff	2
793	891f02b13afffff	2
794	891f1a6f567ffff	2
795	891f1a75287ffff	4
796	891e349220fffff	5
797	891e34905a3ffff	2
798	891f1a6a857ffff	7
799	891f02b086bffff	0
800	891e34d49cfffff	7
801	891e349002fffff	2
802	891e349711bffff	2
803	891f1a28067ffff	2
804	891e3492387ffff	3
805	891e349060bffff	5
806	891e3490077ffff	1
807	891e34d609bffff	2
808	891f1a6621bffff	0
809	891f1a6ae47ffff	2
810	891e348b063ffff	7
811	891e34d565bffff	4
812	891f1a619c3ffff	3
813	891f02b340fffff	2
814	891f1a285b7ffff	2
815	891f1a60a43ffff	1
816	891e3493073ffff	4
817	891f1a2f1b3ffff	2
818	891e34906abffff	2
819	891f1a2992bffff	2
820	891f1a2a84bffff	2
821	891e34905c3ffff	3
822	891f1a68563ffff	2
823	891e34821b7ffff	4
824	891f0284833ffff	4
825	891e34992d7ffff	0
826	891f1a66a43ffff	5
827	891e34975cbffff	2
828	891e349a62fffff	1
829	891f1a68427ffff	2
830	891f1a673bbffff	4
831	891f1a29d27ffff	2
832	891e349060fffff	3
833	891f02b9077ffff	2
834	891f1a2c2abffff	4
835	891f1a68e97ffff	2
836	891f1a6298bffff	3
837	891f1a6143bffff	2
838	891f1a61dbbffff	2
839	891f1a29cc3ffff	2
840	891e34d6007ffff	4
841	891e3491047ffff	3
842	891f1a6f407ffff	2
843	891f1a28837ffff	2
844	891f1a2d393ffff	7
845	891f1a2d58bffff	3
846	891e349230fffff	2
847	891f1a68ec7ffff	2
848	891f1a28a5bffff	2
849	motocross	4
850	891f1a29e93ffff	2
851	891f1a66a33ffff	7
852	891f1a6a8d7ffff	4
853	891e3492293ffff	2
854	891f1a680c3ffff	2
855	891e3493117ffff	4
856	891f1a62a5bffff	2
857	891e3490d07ffff	3
858	891f1a61d67ffff	0
859	891e3491863ffff	2
860	891e34d4c63ffff	3
861	891f1a61813ffff	2
862	891f02b1a5bffff	2
863	891f02b1a23ffff	1
864	891f1a2d40fffff	2
865	891e3499cc3ffff	4
866	891f1a28227ffff	2
867	891e3497063ffff	2
868	891f1a28223ffff	2
869	891e34906bbffff	3
870	891f1a2db43ffff	2
871	891f1a2d8c3ffff	2
872	891e3490c9bffff	2
873	891f1a62c3bffff	2
874	891f02baa7bffff	2
875	891f1a65427ffff	4
876	891f1a61d77ffff	5
877	891f02bac17ffff	2
878	891f1a2d17bffff	4
879	891e3492313ffff	2
880	891f1a66b57ffff	7
881	891e34931abffff	0
882	891f1a6f123ffff	7
883	891f1a66a4bffff	4
884	891f1a62d43ffff	0
885	891f1a29c9bffff	2
886	891e3492dafffff	2
887	891f1a6a913ffff	4
888	891f1a6841bffff	2
889	891f02b8543ffff	2
890	891f1a28a43ffff	2
891	891e34935afffff	4
892	891e349708bffff	2
893	891f1a2daafffff	0
894	891e34d7557ffff	6
895	891f1a6e27bffff	2
896	891f1a2db3bffff	2
897	891e3492a1bffff	2
898	891f1a658cfffff	3
899	891e3499ccfffff	3
900	891f1a61bb3ffff	5
901	891f1a689cbffff	5
902	891f1a6e20fffff	5
903	891e34d6393ffff	0
904	891e3491597ffff	4
905	891f1a2d54bffff	1
906	891f1a6830fffff	2
907	891e34d7563ffff	2
908	891f1a2830bffff	2
909	891e349ae6bffff	7
910	891e3492d87ffff	2
911	891e34d758fffff	2
912	891e34975b7ffff	2
913	891e349464fffff	2
914	891e34d0857ffff	2
915	891e34d288bffff	5
916	891e349226fffff	0
917	891e349620fffff	2
918	891e34d6bcbffff	4
919	891e3490017ffff	4
920	891f1a64013ffff	0
921	891f02b358fffff	3
922	891f1a2de4fffff	4
923	891e349b363ffff	0
924	891f1a29d7bffff	2
925	891e3491e67ffff	0
926	891e349004fffff	4
927	891e34d5033ffff	7
928	891f1a28367ffff	2
929	891f1a29e43ffff	3
930	891f02b133bffff	1
931	891f1a6f577ffff	7
932	891f1a6a353ffff	2
933	891f02ba88bffff	2
934	891f1a29127ffff	2
935	891f1a67067ffff	7
936	891f1a64023ffff	0
937	891f1a658cbffff	7
938	891f1a628afffff	4
939	891e34d5023ffff	7
940	891e349ae0bffff	7
941	891e34900abffff	4
942	891e34906c3ffff	0
943	891e349142fffff	1
944	891f1a618bbffff	0
945	891f1a2c153ffff	0
946	891f1a293d3ffff	4
947	891f1a67393ffff	7
948	891e3493103ffff	0
949	891e348b157ffff	1
950	plumber	3
951	891e3497153ffff	2
952	891f1a2f453ffff	2
953	891e34d61d7ffff	0
954	891f1a64103ffff	0
955	891f1a6adcfffff	7
956	891f1a61d6fffff	3
957	891e3497027ffff	2
958	891f1a61d0bffff	5
959	891f1a68d87ffff	2
960	891f1a2f5dbffff	3
961	891f1a64c17ffff	0
962	joiner	1
963	891e3490637ffff	0
964	891f1a281c7ffff	7
965	891f1a6c267ffff	0
966	891f02b3597ffff	4
967	891f1a68d73ffff	0
968	891e3492e1bffff	2
969	891f1a2806fffff	2
970	mine	6
971	891e34d602bffff	4
972	891e349190fffff	3
973	891f1a293bbffff	2
974	891e34911d7ffff	4
975	891e349368bffff	7
976	891e349ad4bffff	3
