index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
665	hasOSMTag	soccer	osmtag	891e3498b7bffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
666	located_on_h3_cell	https://www.openstreetmap.org/relation/10323390	osmplace	891f1a64023ffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
667	hasOSMTag	memorial	osmtag	891f1a6d963ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
668	hasOSMTag	memorial	osmtag	891f1a64577ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
669	hasOSMTag	memorial	osmtag	891e349a347ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
670	hasOSMTag	memorial	osmtag	891e3498c0bffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
671	hasOSMTag	athletics	osmtag	891e348320bffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
672	hasOSMTag	athletics	osmtag	891e349a6c7ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
673	hasOSMTag	athletics	osmtag	891e349a213ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
674	hasOSMTag	miniature_golf	osmtag	891e349886fffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
675	hasOSMTag	castle	osmtag	891e349119bffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
676	hasOSMTag	castle	osmtag	891e349a217ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
677	located_on_h3_cell	https://www.openstreetmap.org/relation/10275310	osmplace	891e349a667ffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
678	located_on_h3_cell	891f1a66ba3ffff	h3place	https://www.openstreetmap.org/way/210704045	osmplace	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
679	located_on_h3_cell	https://www.openstreetmap.org/relation/10974189	osmplace	891e349b64bffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
680	located_on_h3_cell	https://www.openstreetmap.org/way/786108621	osmplace	891e349a29bffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
681	located_on_h3_cell	https://www.openstreetmap.org/way/352595613	osmplace	891f1a645a3ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
682	located_on_h3_cell	https://www.openstreetmap.org/way/294681640	osmplace	891f1a6eb5bffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
683	located_on_h3_cell	https://www.openstreetmap.org/way/594354352	osmplace	891e34d650bffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
684	located_on_h3_cell	https://www.openstreetmap.org/way/531281593	osmplace	891f1a65b37ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
685	located_on_h3_cell	https://www.openstreetmap.org/relation/10323386	osmplace	891f1a64383ffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
686	located_on_h3_cell	https://www.openstreetmap.org/relation/3736318	osmplace	891f1a6c567ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
687	hasOSMTag	891e34915a7ffff	h3place	stop_area	osmtag	False		Transport_POS_amenity around (Stollberg) radius=15.0	1.0
688	located_on_h3_cell	https://www.openstreetmap.org/way/751563496	osmplace	891e349a63bffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
689	located_on_h3_cell	https://www.openstreetmap.org/way/539211416	osmplace	891e34d6e3bffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
690	located_on_h3_cell	https://www.openstreetmap.org/relation/5751789	osmplace	891e349a28bffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
691	located_on_h3_cell	https://www.openstreetmap.org/relation/9564508	osmplace	891e349314fffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
692	located_on_h3_cell	891f1a659bbffff	h3place	https://www.openstreetmap.org/way/954753452	osmplace	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
693	located_on_h3_cell	https://www.openstreetmap.org/way/488334034	osmplace	891f1a65babffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
694	located_on_h3_cell	https://www.openstreetmap.org/way/686333253	osmplace	891e349815bffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
695	located_on_h3_cell	https://www.openstreetmap.org/relation/5941332	osmplace	891e349a29bffff	h3place	False	6.0	Services_POS_amenity around (Stollberg) radius=15.0	
696	located_on_h3_cell	https://www.openstreetmap.org/relation/10059177	osmplace	891f1a66acfffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
697	located_on_h3_cell	https://www.openstreetmap.org/way/319709241	osmplace	891e349886fffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
698	located_on_h3_cell	https://www.openstreetmap.org/node/8611128334	osmplace	891e349ae77ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
699	located_on_h3_cell	https://www.openstreetmap.org/way/295700157	osmplace	891f1a648bbffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
700	located_on_h3_cell	https://www.openstreetmap.org/way/209977279	osmplace	891f1a66967ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
701	located_on_h3_cell	https://www.openstreetmap.org/way/241631508	osmplace	891f1a640cfffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
702	hasOSMTag	891f1a66a43ffff	h3place	pharmacy	osmtag	False		Services_POS_amenity around (Stollberg) radius=15.0	1.0
703	located_on_h3_cell	https://www.openstreetmap.org/relation/9912516	osmplace	891f1a659bbffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
704	located_on_h3_cell	https://www.openstreetmap.org/way/218409460	osmplace	891f1a66e9bffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
705	located_on_h3_cell	https://www.openstreetmap.org/node/8719275977	osmplace	891e34d65bbffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
706	located_on_h3_cell	https://www.openstreetmap.org/relation/10055566	osmplace	891f1a6c53bffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
707	located_on_h3_cell	https://www.openstreetmap.org/relation/9996938	osmplace	891e34d61c7ffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
708	located_on_h3_cell	891f1a6d96fffff	h3place	https://www.openstreetmap.org/node/3364674873	osmplace	False	6.0	Lifestyle_POS_amenity around (Stollberg) radius=15.0	
709	located_on_h3_cell	https://www.openstreetmap.org/way/232541731	osmplace	891e349962fffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
710	located_on_h3_cell	https://www.openstreetmap.org/node/8595902484	osmplace	891e3498437ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
711	located_on_h3_cell	https://www.openstreetmap.org/node/8659400441	osmplace	891e34d6617ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
712	located_on_h3_cell	891f1a659bbffff	h3place	https://www.openstreetmap.org/way/907511534	osmplace	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
713	located_on_h3_cell	https://www.openstreetmap.org/relation/9339142	osmplace	891e349a217ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
714	located_on_h3_cell	https://www.openstreetmap.org/way/270560384	osmplace	891e34d602fffff	h3place	False	6.0	Services_POS_amenity around (Stollberg) radius=15.0	
715	located_on_h3_cell	https://www.openstreetmap.org/relation/9622452	osmplace	891e34936afffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
716	located_on_h3_cell	https://www.openstreetmap.org/relation/10052447	osmplace	891f1a64013ffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
717	located_on_h3_cell	https://www.openstreetmap.org/relation/10323388	osmplace	891f1a6400fffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
718	located_on_h3_cell	https://www.openstreetmap.org/relation/9618501	osmplace	891e3491573ffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
719	located_on_h3_cell	https://www.openstreetmap.org/node/8849051497	osmplace	891f1a64a4bffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
720	located_on_h3_cell	https://www.openstreetmap.org/way/210248838	osmplace	891f1a66ba7ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
721	located_on_h3_cell	891f1a6706bffff	h3place	https://www.openstreetmap.org/way/504516377	osmplace	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
722	located_on_h3_cell	https://www.openstreetmap.org/way/210704045	osmplace	891f1a66ba3ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
723	located_on_h3_cell	https://www.openstreetmap.org/way/550487887	osmplace	891f1a60b2bffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
724	located_on_h3_cell	https://www.openstreetmap.org/way/215543302	osmplace	891f1a66ab3ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
725	located_on_h3_cell	https://www.openstreetmap.org/way/313352996	osmplace	891f1a642cfffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
726	located_on_h3_cell	https://www.openstreetmap.org/way/309777023	osmplace	891f1a6739bffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
727	located_on_h3_cell	891f1a659bbffff	h3place	https://www.openstreetmap.org/way/634913009	osmplace	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
728	located_on_h3_cell	https://www.openstreetmap.org/way/313239305	osmplace	891f1a6463bffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
729	located_on_h3_cell	891e349188bffff	h3place	https://www.openstreetmap.org/relation/9955807	osmplace	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
730	located_on_h3_cell	https://www.openstreetmap.org/way/484425735	osmplace	891e3493083ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
731	hasOSMTag	joiner	osmtag	891f1a60963ffff	h3place	False		Lifestyle_POS_amenity around (Stollberg) radius=15.0	1.0
732	hasOSMTag	891f1a655dbffff	h3place	restaurant	osmtag	False		Lifestyle_POS_amenity around (Stollberg) radius=15.0	1.0
733	located_on_h3_cell	https://www.openstreetmap.org/way/864351334	osmplace	891e34d60c3ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
734	hasOSMTag	multi	osmtag	891f1a66d47ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
735	hasOSMTag	multi	osmtag	891f1a6d98bffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
736	hasOSMTag	multi	osmtag	891e3499ccbffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
737	hasOSMTag	common	osmtag	891f1a65917ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
738	hasOSMTag	cafe	osmtag	891e349a2cfffff	h3place	False		Lifestyle_POS_amenity around (Stollberg) radius=15.0	1.0
739	hasOSMTag	891f1a64427ffff	h3place	stop_area	osmtag	False		Transport_POS_amenity around (Stollberg) radius=15.0	1.0
740	hasOSMTag	motocross	osmtag	891e349b42fffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
741	hasOSMTag	horse_riding	osmtag	891f1a64837ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
742	hasOSMTag	horse_riding	osmtag	891e34989a7ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
