index	Id	v_type	attributes.osmid	attributes.tagvalue	attributes.tagname	Lon	Lat	attributes.resolution	attributes.h3index	lat	lon
1021	https://www.openstreetmap.org/way/953598587	osmplace				12.74726	50.74029				
1022	https://www.openstreetmap.org/way/309777029	osmplace				12.61433	50.78866				
1023	https://www.openstreetmap.org/way/401480479	osmplace				12.61801	50.78811				
1024	https://www.openstreetmap.org/way/241934151	osmplace				12.67049	50.78346				
1025	https://www.openstreetmap.org/way/424026722	osmplace				12.70679	50.75952				
1026	https://www.openstreetmap.org/way/223274570	osmplace				12.70832	50.83473				
1027	https://www.openstreetmap.org/way/216864358	osmplace				12.72915	50.8142				
1028	https://www.openstreetmap.org/way/215786726	osmplace				12.73442	50.8146				
1029	https://www.openstreetmap.org/way/194540611	osmplace				12.70827	50.80236				
1030	https://www.openstreetmap.org/node/3303417061	osmplace				12.85208	50.70343				
1031	https://www.openstreetmap.org/way/355144021	osmplace				12.74631	50.7336				
1032	891e349853bffff	h3place				12.84216	50.68603	9.0		50.68602562715237	12.84216335626498
1033	891e3499133ffff	h3place				12.79715	50.6324	9.0		50.63239953585959	12.797149743076684
1034	891f1a65873ffff	h3place				12.71045	50.72788	9.0		50.72788363709624	12.710446854771572
1035	891e34d63afffff	h3place				12.71792	50.57643	9.0		50.5764324936767	12.717919813724713
1036	891f1a6e94bffff	h3place				12.66694	50.687	9.0		50.68700080369492	12.666941434016834
1037	891f1a65b0fffff	h3place				12.73132	50.7141	9.0		50.714100805683415	12.731318649450536
1038	891e34906bbffff	h3place				12.89945	50.80362	9.0		50.803617811840816	12.899451118933062
1039	891e3493407ffff	h3place				12.82817	50.82926	9.0		50.82925757856413	12.828172794328056
1040	891e349aeafffff	h3place				12.86244	50.71014	9.0		50.71014137342752	12.862444367998188
1041	891e3493023ffff	h3place				12.85438	50.81077	9.0		50.81077072437987	12.854382863852324
1042	891e3490657ffff	h3place				12.88776	50.79527	9.0		50.79526939685138	12.887757158627073
1043	891e3498b87ffff	h3place				12.92656	50.64851	9.0		50.648505702640776	12.92656182241627
1044	891f1a656d3ffff	h3place				12.57318	50.74642	9.0		50.746419329571275	12.573181196221004
1045	891f1a64533ffff	h3place				12.71407	50.80398	9.0		50.80397970349659	12.714069563782116
1046	891f1a6e187ffff	h3place				12.5931	50.71489	9.0		50.71489474524822	12.593096479834582
