index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
612	hasOSMTag	891f02bb663ffff	h3place	platform	osmtag	False	1.0		Transport_POS_amenity around (Wismar) radius=15.0
613	located_on_h3_cell	891f02bb663ffff	h3place	https://www.openstreetmap.org/way/461001346	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
614	hasOSMTag	891f02b8297ffff	h3place	platform	osmtag	False	2.0		Transport_POS_amenity around (Wismar) radius=15.0
615	located_on_h3_cell	https://www.openstreetmap.org/way/880685172	osmplace	891f02a02bbffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
616	hasOSMTag	stop_area	osmtag	891f02b8533ffff	h3place	False	1.0		Transport_POS_amenity around (Wismar) radius=15.0
617	hasOSMTag	891f02bad1bffff	h3place	platform	osmtag	False	1.0		Transport_POS_amenity around (Wismar) radius=15.0
618	located_on_h3_cell	891f02b1363ffff	h3place	https://www.openstreetmap.org/node/474349069	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
619	located_on_h3_cell	891f02a349bffff	h3place	https://www.openstreetmap.org/way/880685156	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
620	located_on_h3_cell	891f0049a0fffff	h3place	https://www.openstreetmap.org/node/5014440158	osmplace	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
621	hasOSMTag	slipway	osmtag	891f02aa08bffff	h3place	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
622	hasOSMTag	stop_area	osmtag	891f02b8297ffff	h3place	False	1.0		Transport_POS_amenity around (Wismar) radius=15.0
623	hasOSMTag	stop_area	osmtag	891f02b0157ffff	h3place	False	1.0		Transport_POS_amenity around (Wismar) radius=15.0
624	located_on_h3_cell	891f02b1363ffff	h3place	https://www.openstreetmap.org/way/881148335	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
625	located_on_h3_cell	891f02b8297ffff	h3place	https://www.openstreetmap.org/way/882036721	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
626	located_on_h3_cell	https://www.openstreetmap.org/relation/11980989	osmplace	891f02b310fffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
627	located_on_h3_cell	891f02ba4abffff	h3place	https://www.openstreetmap.org/way/325889009	osmplace	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
628	located_on_h3_cell	891f02baeb3ffff	h3place	https://www.openstreetmap.org/way/316215304	osmplace	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
