index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
14	located_on_h3_cell	https://www.openstreetmap.org/way/354603427	osmplace	891f02a308fffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
15	hasOSMTag	891f02a124bffff	h3place	quarry	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
16	hasOSMTag	891f02842a7ffff	h3place	fast_food	osmtag	False	1.0		Lifestyle_NEG_shop around (Wismar) radius=15.0
17	located_on_h3_cell	891f02baec3ffff	h3place	https://www.openstreetmap.org/way/724295619	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
18	located_on_h3_cell	891f02ba437ffff	h3place	https://www.openstreetmap.org/way/315967084	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
19	located_on_h3_cell	891f02ba437ffff	h3place	https://www.openstreetmap.org/way/315967082	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
20	located_on_h3_cell	https://www.openstreetmap.org/way/498807221	osmplace	891f02a1c13ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
21	hasOSMTag	891f02b9077ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
22	located_on_h3_cell	891f02842a7ffff	h3place	https://www.openstreetmap.org/way/925358001	osmplace	False		6.0	Lifestyle_NEG_shop around (Wismar) radius=15.0
23	hasOSMTag	891f02b80d7ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
24	located_on_h3_cell	https://www.openstreetmap.org/way/381739289	osmplace	891f02bae2bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
25	located_on_h3_cell	https://www.openstreetmap.org/way/316094137	osmplace	891f02b086bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
26	located_on_h3_cell	https://www.openstreetmap.org/way/884321305	osmplace	891f02a24d3ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
27	located_on_h3_cell	https://www.openstreetmap.org/way/381739009	osmplace	891f02bae67ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
28	located_on_h3_cell	https://www.openstreetmap.org/way/338042397	osmplace	891f02b8053ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
29	located_on_h3_cell	https://www.openstreetmap.org/way/547465956	osmplace	891f02b1e8bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
30	located_on_h3_cell	https://www.openstreetmap.org/way/316092415	osmplace	891f02b1a3bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
31	hasOSMTag	quarry	osmtag	891f02a124bffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
32	located_on_h3_cell	https://www.openstreetmap.org/way/498807223	osmplace	891f02a1c03ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
33	located_on_h3_cell	https://www.openstreetmap.org/way/229785618	osmplace	891f02a01dbffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
34	located_on_h3_cell	891f02b8533ffff	h3place	https://www.openstreetmap.org/way/339319096	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
35	located_on_h3_cell	https://www.openstreetmap.org/way/594849773	osmplace	891f02b1347ffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
36	located_on_h3_cell	891f02b126fffff	h3place	https://www.openstreetmap.org/relation/10413399	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
37	located_on_h3_cell	891f02b1e8bffff	h3place	https://www.openstreetmap.org/way/547465957	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
38	located_on_h3_cell	https://www.openstreetmap.org/way/296833991	osmplace	891f02bb40fffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
39	located_on_h3_cell	https://www.openstreetmap.org/way/547465955	osmplace	891f02b1e8bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
40	hasOSMTag	industrial	osmtag	891f02b0817ffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
41	hasOSMTag	891f02a1c03ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
42	located_on_h3_cell	https://www.openstreetmap.org/way/413374256	osmplace	891f02b197bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
43	hasOSMTag	taxiway	osmtag	891f02b1e13ffff	h3place	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
44	hasOSMTag	891f02a0507ffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
45	located_on_h3_cell	https://www.openstreetmap.org/way/363084455	osmplace	891f02b0883ffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
46	located_on_h3_cell	891f02ba50bffff	h3place	https://www.openstreetmap.org/way/315976217	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
47	located_on_h3_cell	891f02b1a0fffff	h3place	https://www.openstreetmap.org/way/312660923	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
48	located_on_h3_cell	https://www.openstreetmap.org/way/316091158	osmplace	891f02b1a77ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
49	located_on_h3_cell	https://www.openstreetmap.org/way/339319097	osmplace	891f02b8533ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
50	hasOSMTag	891f02a01dbffff	h3place	industrial	osmtag	False	2.0		Environment_NEG_geological around (Wismar) radius=15.0
51	hasOSMTag	891f02b85a7ffff	h3place	primary	osmtag	False	2.0		Transport_NEG_aeroway around (Wismar) radius=15.0
52	hasOSMTag	891f02b0aa7ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
53	located_on_h3_cell	https://www.openstreetmap.org/way/395596918	osmplace	891f028e9d7ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
54	located_on_h3_cell	891f02bb5cbffff	h3place	https://www.openstreetmap.org/way/321539689	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
55	hasOSMTag	primary	osmtag	891f028e9d7ffff	h3place	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
56	hasOSMTag	industrial	osmtag	891f02b18cbffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
57	hasOSMTag	891f02b91d3ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
58	hasOSMTag	primary	osmtag	891f02b8e8bffff	h3place	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
59	located_on_h3_cell	https://www.openstreetmap.org/way/322857161	osmplace	891f02b1a6bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
60	located_on_h3_cell	https://www.openstreetmap.org/way/305457946	osmplace	891f02869b3ffff	h3place	False		6.0	Lifestyle_NEG_shop around (Wismar) radius=15.0
61	hasOSMTag	fast_food	osmtag	891f02869b3ffff	h3place	False	1.0		Lifestyle_NEG_shop around (Wismar) radius=15.0
62	hasOSMTag	891f02a1c13ffff	h3place	primary	osmtag	False	2.0		Transport_NEG_aeroway around (Wismar) radius=15.0
63	hasOSMTag	891f02a364bffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
64	hasOSMTag	industrial	osmtag	891f02baec3ffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
65	located_on_h3_cell	https://www.openstreetmap.org/way/858740037	osmplace	891f02bae3bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
66	located_on_h3_cell	-	osmplace	89754e64993ffff	h3place	False		6.0	Services_NEG_amenity around (Wismar) radius=15.0
67	hasOSMTag	primary	osmtag	891f02ba437ffff	h3place	False	2.0		Transport_NEG_aeroway around (Wismar) radius=15.0
68	located_on_h3_cell	891f02b1a23ffff	h3place	https://www.openstreetmap.org/way/357088217	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
69	hasOSMTag	891f02ba10fffff	h3place	trunk	osmtag	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
70	hasOSMTag	891f02bb51bffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
71	hasOSMTag	891f02aa08bffff	h3place	fast_food	osmtag	False	1.0		Lifestyle_NEG_shop around (Wismar) radius=15.0
72	located_on_h3_cell	https://www.openstreetmap.org/way/316091159	osmplace	891f02b1a3bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
73	hasOSMTag	quarry	osmtag	891f02a1047ffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
74	hasOSMTag	891f02b8da3ffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
75	located_on_h3_cell	891f02b1a3bffff	h3place	https://www.openstreetmap.org/way/316091159	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
76	hasOSMTag	891f02bae3bffff	h3place	primary	osmtag	False	3.0		Transport_NEG_aeroway around (Wismar) radius=15.0
77	located_on_h3_cell	891f02b91d3ffff	h3place	https://www.openstreetmap.org/way/296834699	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
78	hasOSMTag	891f028e9d7ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
79	hasOSMTag	891f02b0883ffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
80	located_on_h3_cell	https://www.openstreetmap.org/way/315967088	osmplace	891f02ba5cfffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
81	hasOSMTag	891f02b1a73ffff	h3place	trunk	osmtag	False	2.0		Transport_NEG_aeroway around (Wismar) radius=15.0
82	hasOSMTag	primary	osmtag	891f02b8093ffff	h3place	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
83	hasOSMTag	fast_food	osmtag	891f02bac33ffff	h3place	False	1.0		Lifestyle_NEG_shop around (Wismar) radius=15.0
84	located_on_h3_cell	https://www.openstreetmap.org/way/322857244	osmplace	891f02a3127ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
85	located_on_h3_cell	891f02b1e8bffff	h3place	https://www.openstreetmap.org/way/595165944	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
86	located_on_h3_cell	891f02a3547ffff	h3place	https://www.openstreetmap.org/way/355648468	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
87	located_on_h3_cell	891f02b1e8bffff	h3place	https://www.openstreetmap.org/way/547465955	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
88	located_on_h3_cell	https://www.openstreetmap.org/way/381739293	osmplace	891f02bae2bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
89	hasOSMTag	primary	osmtag	891f02b854bffff	h3place	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
90	hasOSMTag	891f02b0d57ffff	h3place	primary	osmtag	False	2.0		Transport_NEG_aeroway around (Wismar) radius=15.0
91	located_on_h3_cell	891f02b9073ffff	h3place	https://www.openstreetmap.org/way/392033980	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
92	located_on_h3_cell	https://www.openstreetmap.org/way/498984674	osmplace	891f02a0697ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
93	located_on_h3_cell	891f02bb51bffff	h3place	https://www.openstreetmap.org/way/321539690	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
94	located_on_h3_cell	891f02bb5cfffff	h3place	https://www.openstreetmap.org/way/321539688	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
95	located_on_h3_cell	https://www.openstreetmap.org/way/316094781	osmplace	891f02b0d43ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
96	located_on_h3_cell	891f02ba10fffff	h3place	https://www.openstreetmap.org/way/383987058	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
97	located_on_h3_cell	891f0216d2fffff	h3place	https://www.openstreetmap.org/way/67626643	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
98	located_on_h3_cell	https://www.openstreetmap.org/way/410338559	osmplace	891f02ba573ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
99	located_on_h3_cell	https://www.openstreetmap.org/way/321539689	osmplace	891f02bb5cbffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
100	located_on_h3_cell	https://www.openstreetmap.org/way/316091160	osmplace	891f02b1a77ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
101	located_on_h3_cell	891f02a019bffff	h3place	https://www.openstreetmap.org/way/396723947	osmplace	False		6.0	Lifestyle_NEG_shop around (Wismar) radius=15.0
102	hasOSMTag	primary	osmtag	891f02bae6bffff	h3place	False	3.0		Transport_NEG_aeroway around (Wismar) radius=15.0
103	hasOSMTag	891f02aacd3ffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
104	located_on_h3_cell	https://www.openstreetmap.org/way/845500772	osmplace	891f02a319bffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
105	hasOSMTag	891f02b1a0fffff	h3place	primary	osmtag	False	2.0		Transport_NEG_aeroway around (Wismar) radius=15.0
106	located_on_h3_cell	891f02a1017ffff	h3place	https://www.openstreetmap.org/way/350785425	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
107	hasOSMTag	891f02b9d53ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
108	hasOSMTag	primary	osmtag	891f02b0d43ffff	h3place	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
109	located_on_h3_cell	https://www.openstreetmap.org/way/547465954	osmplace	891f02b1e8bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
110	hasOSMTag	891f02b1a6bffff	h3place	trunk	osmtag	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
111	hasOSMTag	891f02a0563ffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
112	located_on_h3_cell	https://www.openstreetmap.org/way/322698084	osmplace	891f02bae6bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
