index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
310	located_on_h3_cell	891f038683bffff	h3place	https://www.openstreetmap.org/way/242406827	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
311	located_on_h3_cell	891f0386a63ffff	h3place	https://www.openstreetmap.org/way/726145636	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
312	located_on_h3_cell	891f03863bbffff	h3place	https://www.openstreetmap.org/relation/9908831	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
313	hasOSMTag	milestone	osmtag	891f038763bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
314	hasOSMTag	place_of_worship	osmtag	891f03b3387ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
315	located_on_h3_cell	891f03868d7ffff	h3place	https://www.openstreetmap.org/way/694091175	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
316	located_on_h3_cell	https://www.openstreetmap.org/way/242406843	osmplace	891f038683bffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
317	located_on_h3_cell	https://www.openstreetmap.org/way/761192608	osmplace	891f038660bffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
318	located_on_h3_cell	https://www.openstreetmap.org/way/694095101	osmplace	891f03868d7ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
319	hasOSMTag	kindergarten	osmtag	891f038616fffff	h3place	False		Services_POS_amenity around (Stralsund) radius=15.0	1.0
320	hasOSMTag	891f03b8413ffff	h3place	sports_centre	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
321	hasOSMTag	891f03948a7ffff	h3place	nature_reserve	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
322	hasOSMTag	pitch	osmtag	891f038492bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	4.0
323	located_on_h3_cell	891f038682bffff	h3place	https://www.openstreetmap.org/way/242406826	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
324	located_on_h3_cell	891f03b0c8bffff	h3place	https://www.openstreetmap.org/way/504746601	osmplace	False	6.0	Lifestyle_POS_amenity around (Stralsund) radius=15.0	
325	located_on_h3_cell	https://www.openstreetmap.org/way/694207226	osmplace	891f038680fffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
326	located_on_h3_cell	https://www.openstreetmap.org/way/242403101	osmplace	891f0386817ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
327	located_on_h3_cell	891f03b2a0bffff	h3place	https://www.openstreetmap.org/way/683351267	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
328	located_on_h3_cell	891f03863b3ffff	h3place	https://www.openstreetmap.org/node/3091354687	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
329	hasOSMTag	891f03868d7ffff	h3place	garden	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
330	hasOSMTag	891f0394dabffff	h3place	soccer	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
331	hasOSMTag	891f03868d7ffff	h3place	golf	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
